Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
4.0,4.0,150.0,109.0,2120000000.0
4.0,4.0,250.0,200.0,2340000000.0
4.0,4.0,92.0,57.0,998000000.0
3.0,2.0,55.0,41.0,845000000.0
3.0,2.0,85.0,105.0,1350000000.0
4.0,3.0,130.0,70.0,1700000000.0
3.0,2.0,100.0,136.0,1570000000.0
3.0,3.0,78.0,53.0,1170000000.0
3.0,3.0,100.0,66.0,900000000.0
4.0,4.0,250.0,140.0,4099999999.9999995
3.0,3.0,200.0,108.0,2300000000.0
3.0,3.0,80.0,30.0,1080000000.0
2.0,3.0,140.0,104.0,2400000000.0
3.0,3.0,168.0,119.0,2700000000.0
3.0,3.0,108.0,80.0,1280000000.0
4.0,3.0,200.0,138.0,2210000000.0
3.0,2.0,160.0,77.0,1900000000.0
3.0,3.0,63.0,37.0,833720000.0
5.0,3.0,90.0,75.0,1550000000.0
5.0,5.0,320.0,278.0,5800000000.0
4.0,4.0,250.0,140.0,4099999999.9999995
4.0,4.0,118.0,65.0,1480000000.0
3.0,4.0,160.0,216.0,3170000000.0
3.0,3.0,74.0,51.0,1150000000.0
2.0,2.0,54.0,90.0,1030000000.0
2.0,2.0,55.0,40.0,825000000.0
3.0,3.0,180.0,117.0,2600000000.0
2.0,2.0,96.0,49.0,750000000.0
5.0,4.0,168.0,60.0,2350000000.0
2.0,2.0,58.0,30.0,975000000.0
3.0,3.0,122.0,202.0,2360000000.0
2.0,3.0,86.0,105.0,3300000000.0
2.0,2.0,40.0,21.0,457710000.0
5.0,4.0,300.0,150.0,3800000000.0
2.0,3.0,78.0,71.0,1600000000.0
4.0,4.0,250.0,119.0,4110000000.0000005
4.0,3.0,111.0,104.0,1500000000.0
3.0,3.0,180.22,62.0,2250000000.0
3.0,3.0,90.0,96.0,1990000000.0
5.0,3.0,100.0,72.0,3150000000.0
3.0,2.0,70.0,50.0,1100000000.0
2.0,2.0,54.0,45.0,725000000.0
4.0,4.0,105.0,140.0,2900000000.0
3.0,2.0,56.0,31.0,990000000.0
4.0,3.0,160.0,112.0,2000000000.0
3.0,3.0,360.0,144.0,4099999999.9999995
4.0,4.0,270.0,160.0,3950000000.0
3.0,3.0,140.0,98.0,2000000000.0
3.0,2.0,86.0,71.0,1290000000.0
3.0,2.0,107.0,75.0,2400000000.0
3.0,3.0,130.0,90.0,2800000000.0
4.0,3.0,150.0,135.0,1700000000.0
3.0,3.0,78.0,45.0,1580000000.0
4.0,3.0,160.0,112.0,2000000000.0
4.0,4.0,90.0,47.0,1490000000.0
2.0,2.0,48.0,24.0,685000000.0
3.0,2.0,260.0,140.0,3850000000.0
2.0,1.0,33.0,18.0,494000000.0
3.0,3.0,100.0,40.0,1600000000.0
4.0,3.0,112.0,90.0,1150000000.0
5.0,3.0,200.0,134.0,2550000000.0
4.0,3.0,220.0,96.0,2850000000.0
2.0,2.0,87.0,60.0,1600000000.0
2.0,2.0,58.0,90.0,1450000000.0
3.0,2.0,75.0,90.0,1600000000.0
5.0,3.0,280.0,180.0,5500000000.0
3.0,1.0,110.0,118.0,1030000000.0
4.0,3.0,120.0,170.0,2700000000.0
5.0,3.0,150.0,75.0,2400000000.0
2.0,2.0,40.0,20.0,350000000.0
3.0,3.0,100.0,120.0,2049999999.9999998
4.0,4.0,185.0,73.0,2300000000.0
3.0,3.0,130.0,92.0,1580000000.0
4.0,3.0,203.0,79.0,3500000000.0
3.0,3.0,152.0,248.0,4400000000.0
4.0,5.0,160.0,92.0,2250000000.0
3.0,3.0,147.0,83.0,2300000000.0
2.0,2.0,75.0,26.0,880000000.0
3.0,3.0,115.0,98.0,2800000000.0
5.0,6.0,220.0,98.0,2900000000.0
4.0,4.0,210.0,89.0,2350000000.0
5.0,5.0,270.0,228.0,5500000000.0
4.0,5.0,200.0,155.0,3250000000.0
4.0,2.0,100.0,149.0,1500000000.0
2.0,2.0,70.0,75.0,825000000.0
5.0,4.0,140.0,105.0,2900000000.0
4.0,4.0,200.0,154.0,2000000000.0
3.0,2.0,80.0,80.0,1120000000.0
5.0,4.0,240.0,99.0,3400000000.0
3.0,3.0,80.0,31.0,1080000000.0
4.0,3.0,108.0,130.0,2300000000.0
3.0,2.0,80.0,50.0,985000000.0
4.0,4.0,220.0,80.0,2950000000.0
3.0,2.0,64.0,186.0,2500000000.0
3.0,3.0,80.0,30.0,1080000000.0
4.0,3.0,153.0,90.0,3500000000.0
5.0,4.0,210.0,170.0,4600000000.0
3.0,2.0,75.0,69.0,1250000000.0
3.0,3.0,166.0,140.0,3400000000.0
3.0,2.0,120.0,75.0,1800000000.0
2.0,2.0,30.0,59.0,1160000000.0
3.0,3.0,72.0,41.0,1540000000.0
3.0,3.0,78.0,47.0,1510000000.0
3.0,2.0,84.0,62.0,996000000.0
4.0,4.0,200.0,154.0,2000000000.0
2.0,2.0,40.0,20.0,400000000.0
4.0,4.0,227.0,80.0,4900000000.0
2.0,1.0,60.0,70.0,500000000.0
3.0,3.0,97.0,55.0,2230000000.0
2.0,2.0,60.0,33.0,589000000.0
2.0,2.0,60.0,95.0,1750000000.0
5.0,4.0,214.0,80.0,2900000000.0
2.0,2.0,40.0,25.0,481500000.0
2.0,1.0,45.0,66.0,670000000.0
2.0,2.0,68.0,35.0,1130000000.0
3.0,2.0,72.0,61.0,1700000000.0
2.0,2.0,41.0,22.0,545000000.0
4.0,2.0,120.0,60.0,675000000.0
3.0,3.0,200.0,225.0,4800000000.0
5.0,4.0,162.0,125.0,2700000000.0
2.0,2.0,79.0,54.0,1330000000.0
3.0,3.0,150.0,87.0,2500000000.0
3.0,2.0,90.0,94.0,1850000000.0
3.0,2.0,90.0,40.0,785000000.0
3.0,4.0,200.0,120.0,1440000000.0
5.0,4.0,195.0,90.0,3500000000.0
3.0,2.0,105.0,62.0,1800000000.0
3.0,3.0,100.0,67.0,1630000000.0
2.0,2.0,70.0,50.0,1100000000.0
3.0,3.0,90.0,44.0,850000000.0
3.0,2.0,70.0,54.0,945000000.0
3.0,2.0,110.0,110.0,1680000000.0
2.0,2.0,80.0,95.0,1600000000.0
4.0,3.0,80.0,41.0,1540000000.0
2.0,1.0,28.0,60.0,821000000.0
3.0,3.0,130.0,62.0,1430000000.0
4.0,3.0,178.0,210.0,5000000000.0
3.0,3.0,207.0,120.0,2740000000.0
2.0,2.0,43.0,22.0,553500000.0
3.0,2.0,79.0,96.0,1090000000.0
2.0,2.0,45.0,23.0,559000000.0
2.0,2.0,40.0,20.0,435290000.0
2.0,2.0,41.0,21.0,469020000.0
2.0,1.0,40.0,21.0,289900000.0
2.0,2.0,60.0,95.0,1700000000.0
2.0,2.0,41.0,21.0,450000000.0
3.0,1.0,63.0,90.0,1550000000.0
3.0,2.0,50.0,25.0,300000000.0
4.0,2.0,180.0,230.0,3000000000.0
2.0,2.0,42.0,22.0,495000000.0
2.0,2.0,60.0,31.0,990000000.0
3.0,2.0,106.0,72.0,1300000000.0
3.0,2.0,72.0,53.0,990000000.0
3.0,3.0,78.0,45.0,1580000000.0
4.0,4.0,130.0,66.0,2650000000.0
3.0,3.0,72.0,44.0,1540000000.0
2.0,2.0,38.0,20.0,435290000.0
2.0,2.0,53.0,32.0,840000000.0
3.0,2.0,58.0,30.0,900000000.0
3.0,3.0,250.0,170.0,3500000000.0
3.0,2.0,75.0,90.0,1650000000.0
3.0,3.0,72.0,44.0,1560000000.0
3.0,2.0,95.0,98.0,2200000000.0
