Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
4.0,4.0,200.0,200.0,5800000000.0
2.0,2.0,53.0,32.0,850000000.0
3.0,2.0,350.0,175.0,2900000000.0
2.0,2.0,56.0,32.0,900000000.0
2.0,2.0,53.0,32.0,860000000.0
4.0,4.0,250.0,200.0,2200000000.0
2.0,2.0,78.0,72.0,1500000000.0
4.0,4.0,375.0,275.0,4200000000.0
4.0,4.0,146.0,126.0,3000000000.0
3.0,2.0,156.0,243.0,5500000000.0
2.0,2.0,140.0,100.0,1480000000.0
3.0,2.0,85.0,62.0,2150000000.0
2.0,1.0,88.0,70.0,2300000000.0
3.0,4.0,184.0,184.0,4300000000.0
3.0,2.0,1.0,90.0,1600000000.0
2.0,1.0,30.0,60.0,370000000.0
4.0,4.0,200.0,124.0,2800000000.0
5.0,3.0,250.0,278.0,3200000000.0
2.0,1.0,30.0,60.0,180000000.0
2.0,1.0,36.0,60.0,500000000.0
3.0,3.0,100.0,61.0,1390000000.0
5.0,4.0,280.0,130.0,4700000000.0
4.0,3.0,134.0,113.0,2750000000.0
2.0,2.0,70.0,41.0,865000000.0
2.0,1.0,42.0,60.0,800000000.0
4.0,3.0,260.0,145.0,3900000000.0
2.0,1.0,33.0,60.0,390000000.0
3.0,2.0,210.0,210.0,5250000000.0
2.0,1.0,36.0,60.0,500000000.0
2.0,1.0,30.0,60.0,185000000.0
